"date","pm25_lag0","pm10_lag0","place","lfs_event","protocols_used","lfs_pm10_lag0","lfs_pm25_lag0","lfs_pm2599","lfs99","pm10pct_lag0","pm25pct_lag0"
1994-01-01,,,"Illawarra",,,,,,,,
1994-01-02,,,"Illawarra",,,,,,,,
1994-01-03,,,"Illawarra",,,,,,,,
1994-01-04,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-05,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-06,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-07,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-08,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-09,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-10,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-11,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-12,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-13,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-14,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-15,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-16,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-17,,,"Illawarra",1,"Johnston2011",,,,,,
1994-01-18,,,"Illawarra",,,,,,,,
1994-01-19,,,"Illawarra",,,,,,,,
1994-01-20,,,"Illawarra",,,,,,,,
1994-01-21,,,"Illawarra",,,,,,,,
1994-01-22,,,"Illawarra",,,,,,,,
1994-01-23,,,"Illawarra",,,,,,,,
1994-01-24,,,"Illawarra",,,,,,,,
1994-01-25,,,"Illawarra",,,,,,,,
1994-01-26,,,"Illawarra",,,,,,,,
1994-01-27,,,"Illawarra",,,,,,,,
1994-01-28,,,"Illawarra",,,,,,,,
1994-01-29,,,"Illawarra",,,,,,,,
1994-01-30,,,"Illawarra",,,,,,,,
1994-01-31,,,"Illawarra",,,,,,,,
1994-02-01,,,"Illawarra",,,,,,,,
1994-02-02,,,"Illawarra",,,,,,,,
1994-02-03,,,"Illawarra",,,,,,,,
1994-02-04,,,"Illawarra",,,,,,,,
1994-02-05,,,"Illawarra",,,,,,,,
1994-02-06,,,"Illawarra",,,,,,,,
1994-02-07,,,"Illawarra",,,,,,,,
1994-02-08,,,"Illawarra",,,,,,,,
