"place","date","lfs_event","protocols_used"
"Sydney",1994-01-01,1,"Johnston2011"
"Sydney",1994-01-02,1,"Johnston2011"
"Sydney",1994-01-03,1,"Johnston2011"
"Sydney",1994-01-04,1,"Johnston2011"
"Sydney",1994-01-05,1,"Johnston2011"
"Sydney",1994-01-06,1,"Johnston2011"
"Sydney",1994-01-07,1,"Johnston2011"
"Sydney",1994-01-08,1,"Johnston2011"
"Sydney",1994-01-09,1,"Johnston2011"
"Sydney",1994-01-10,1,"Johnston2011"
"Sydney",1994-01-11,1,"Johnston2011"
"Sydney",1994-01-12,1,"Johnston2011"
"Sydney",1994-01-13,1,"Johnston2011"
"Sydney",1994-01-14,1,"Johnston2011"
"Sydney",1994-01-15,1,"Johnston2011"
"Sydney",1994-01-16,1,"Johnston2011"
"Sydney",1994-01-17,1,"Johnston2011"
"Sydney",1994-05-26,1,"Johnston2011"
"Sydney",1994-05-30,1,"Johnston2011"
"Sydney",1994-05-31,1,"Johnston2011"
"Sydney",1994-10-07,1,"Johnston2011"
"Sydney",1994-11-06,1,"Johnston2011"
"Sydney",1994-11-07,1,"Johnston2011"
"Sydney",1994-11-08,1,"Johnston2011"
"Sydney",1994-11-09,1,"Johnston2011"
"Sydney",1994-11-21,1,"Johnston2011"
"Sydney",1994-12-20,1,"Johnston2011"
"Sydney",1995-01-08,1,"Johnston2011"
"Sydney",1995-08-08,1,"Johnston2011"
"Sydney",1995-08-09,1,"Johnston2011"
"Sydney",1995-08-10,1,"Johnston2011"
"Sydney",1995-08-11,1,"Johnston2011"
"Sydney",1996-01-01,1,"Johnston2011"
"Sydney",1996-01-02,1,"Johnston2011"
"Sydney",1996-01-03,1,"Johnston2011"
"Sydney",1996-01-04,1,"Johnston2011"
"Sydney",1996-12-01,1,"Johnston2011"
"Sydney",1996-12-02,1,"Johnston2011"
"Sydney",1996-12-03,1,"Johnston2011"
"Sydney",1996-12-04,1,"Johnston2011"
"Sydney",1997-11-26,1,"Johnston2011"
"Sydney",1997-11-27,1,"Johnston2011"
"Sydney",1997-11-28,1,"Johnston2011"
"Sydney",1997-11-29,1,"Johnston2011"
"Sydney",1997-11-30,1,"Johnston2011"
"Sydney",1997-12-01,1,"Johnston2011"
"Sydney",1997-12-02,1,"Johnston2011"
"Sydney",1997-12-03,1,"Johnston2011"
"Sydney",1997-12-04,1,"Johnston2011"
"Sydney",1997-12-05,1,"Johnston2011"
"Sydney",1997-12-06,1,"Johnston2011"
"Sydney",1997-12-07,1,"Johnston2011"
"Sydney",1997-12-08,1,"Johnston2011"
"Sydney",1997-12-09,1,"Johnston2011"
"Sydney",1997-12-10,1,"Johnston2011"
"Sydney",1997-12-11,1,"Johnston2011"
"Sydney",1997-12-12,1,"Johnston2011"
"Sydney",1997-12-13,1,"Johnston2011"
"Sydney",1997-12-14,1,"Johnston2011"
"Sydney",1997-12-15,1,"Johnston2011"
"Sydney",1997-12-16,1,"Johnston2011"
"Sydney",1997-12-17,1,"Johnston2011"
"Sydney",1997-12-18,1,"Johnston2011"
"Sydney",1997-12-19,1,"Johnston2011"
"Sydney",1997-12-20,1,"Johnston2011"
"Sydney",1997-12-21,1,"Johnston2011"
"Sydney",1997-12-22,1,"Johnston2011"
"Sydney",1997-12-23,1,"Johnston2011"
"Sydney",1997-12-24,1,"Johnston2011"
"Sydney",1997-12-25,1,"Johnston2011"
"Sydney",1997-12-26,1,"Johnston2011"
"Sydney",1997-12-27,1,"Johnston2011"
"Sydney",1997-12-28,1,"Johnston2011"
"Sydney",1997-12-29,1,"Johnston2011"
"Sydney",1997-12-30,1,"Johnston2011"
"Sydney",1997-12-31,1,"Johnston2011"
"Sydney",1998-01-01,1,"Johnston2011"
"Sydney",1998-01-02,1,"Johnston2011"
"Sydney",1998-01-03,1,"Johnston2011"
"Sydney",1998-03-23,1,"Johnston2011"
"Sydney",1998-03-24,1,"Johnston2011"
"Sydney",1998-03-25,1,"Johnston2011"
"Sydney",1998-03-26,1,"Johnston2011"
"Sydney",1998-03-27,1,"Johnston2011"
"Sydney",1998-03-28,1,"Johnston2011"
"Sydney",1998-03-29,1,"Johnston2011"
"Sydney",1998-03-30,1,"Johnston2011"
"Sydney",2000-02-09,1,"Johnston2011"
"Sydney",2000-02-11,1,"Johnston2011"
"Sydney",2000-09-19,1,"Johnston2011"
"Sydney",2000-09-20,1,"Johnston2011"
"Sydney",2000-09-21,1,"Johnston2011"
"Sydney",2000-10-05,1,"Johnston2011"
"Sydney",2000-10-06,1,"Johnston2011"
"Sydney",2000-10-07,1,"Johnston2011"
"Sydney",2000-10-08,1,"Johnston2011"
"Sydney",2000-12-26,1,"Johnston2011"
"Sydney",2001-01-13,1,"Johnston2011"
"Sydney",2001-01-14,1,"Johnston2011"
"Sydney",2001-01-15,1,"Johnston2011"
"Sydney",2001-01-16,1,"Johnston2011"
"Sydney",2001-01-17,1,"Johnston2011"
"Sydney",2001-01-18,1,"Johnston2011"
"Sydney",2001-01-19,1,"Johnston2011"
"Sydney",2001-10-29,1,"Johnston2011"
"Sydney",2001-10-30,1,"Johnston2011"
"Sydney",2001-10-31,1,"Johnston2011"
"Sydney",2001-11-05,1,"Johnston2011"
"Sydney",2001-11-06,1,"Johnston2011"
"Sydney",2001-12-21,1,"Johnston2011"
"Sydney",2001-12-22,1,"Johnston2011"
"Sydney",2001-12-23,1,"Johnston2011"
"Sydney",2001-12-24,1,"Johnston2011"
"Sydney",2001-12-25,1,"Johnston2011"
"Sydney",2001-12-26,1,"Johnston2011"
"Sydney",2001-12-27,1,"Johnston2011"
"Sydney",2001-12-28,1,"Johnston2011"
"Sydney",2001-12-29,1,"Johnston2011"
