"studysite","admdate","date","maximum_temperatur","minimum_temperatur","dewpt","temp_lag","dew_lag","flu","pm10pct_lag0","pm25pct_lag0","bushfire_lag0","dust_lag0","nonbiomassfire_lag0","nonbiomassnonfire_lag0","possiblebiomass_lag0","prescribedburn_lag0","woodsmoke_lag0","lfs_pm10_lag0","lfs_pm25_lag0","lfs_pm2599","pubhol","lfs_99_NA","lfs_99","pm25_lag0","pm10_lag0","o3_max","temperature","humidity","protocol_used"
"Sydney",NA,1994-01-01,NA,NA,NA,NA,NA,NA,0.831781459674107,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,23.7,5.6,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-02,NA,NA,NA,NA,NA,NA,0.854374914418732,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,24.7,4.5,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-03,NA,NA,NA,NA,NA,NA,0.927016294673422,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.9,3.2,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-04,NA,NA,NA,NA,NA,NA,0.543132959057921,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.9,2.7,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-05,NA,NA,NA,NA,NA,NA,0.668766260440915,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.1,3.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-06,NA,NA,NA,NA,NA,NA,0.920580583321922,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.5,2.6,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-07,NA,NA,NA,NA,NA,NA,0.987950157469533,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,41.5,6.1,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-08,NA,NA,NA,NA,NA,NA,0.9941804737779,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,52.2,3.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-09,NA,NA,NA,NA,NA,NA,0.996029029166096,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,64.8,4.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-10,NA,NA,NA,NA,NA,NA,0.992742708475969,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,48.5,2.6,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-11,NA,NA,NA,NA,NA,NA,0.996987539367383,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,72.9,5.7,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-12,NA,NA,NA,NA,NA,NA,0.995481309051075,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,61.3,8.1,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-13,NA,NA,NA,NA,NA,NA,0.998904559769958,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,109.1,9.5,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-14,NA,NA,NA,NA,NA,NA,0.988360947555799,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,41.9,2.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-15,NA,NA,NA,NA,NA,NA,0.249349582363412,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.3,1.2,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-16,NA,NA,NA,NA,NA,NA,0.331781459674107,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,13.6,3,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-17,NA,NA,NA,NA,NA,NA,0.443242503080926,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15.3,5,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-18,NA,NA,NA,NA,NA,NA,0.817198411611666,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,23.2,9.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-19,NA,NA,NA,NA,NA,NA,0.784472134739148,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,22,4.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-20,NA,NA,NA,NA,NA,NA,0.619471450089005,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18.2,4.3,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-21,NA,NA,NA,NA,NA,NA,0.606600027386006,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18,3.7,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-22,NA,NA,NA,NA,NA,NA,0.345200602492127,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,13.8,1.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-23,NA,NA,NA,NA,NA,NA,0.35238942900178,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,13.9,3.9,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-24,NA,NA,NA,NA,NA,NA,0.474462549637135,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15.8,3.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-25,NA,NA,NA,NA,NA,NA,0.694098315760646,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.6,3.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-26,NA,NA,NA,NA,NA,NA,0.299123647815966,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,13.1,2.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-27,NA,NA,NA,NA,NA,NA,0.774270847596878,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.7,4.5,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-28,NA,NA,NA,NA,NA,NA,0.524168150075311,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.6,1.3,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-29,NA,NA,NA,NA,NA,NA,0.706490483363001,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.9,3.8,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-30,NA,NA,NA,NA,NA,NA,0.365260851704779,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,14.1,3.2,NA,NA,"Johnston2011"
"Sydney",NA,1994-01-31,NA,NA,NA,NA,NA,NA,0.425783924414624,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,15,1.7,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-01,NA,NA,NA,NA,NA,NA,0.732370258797754,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,20.5,3.3,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-02,NA,NA,NA,NA,NA,NA,0.505956456250856,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.3,3,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-03,NA,NA,NA,NA,NA,NA,0.536491852663289,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.8,2.9,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-04,NA,NA,NA,NA,NA,NA,0.679720662741339,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,19.3,3.5,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-05,NA,NA,NA,NA,NA,NA,0.578666301519923,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.5,4.4,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-06,NA,NA,NA,NA,NA,NA,0.636656168697795,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,18.5,6.3,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-07,NA,NA,NA,NA,NA,NA,0.927016294673422,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28.9,7.6,NA,NA,"Johnston2011"
"Sydney",NA,1994-02-08,NA,NA,NA,NA,NA,NA,0.951663699849377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,6.9,NA,NA,"Johnston2011"
