"Variable","Type","Attributes","Value","Count","Percent"
"gid","number","Min.","1",NA,NA
"","","1st Qu.","32.25",NA,NA
"","","Median","63.5",NA,NA
"","","Mean","63.5",NA,NA
"","","3rd Qu.","94.75",NA,NA
"","","Max.","126",NA,NA
"studysite","character","ALBANY",NA,"2","1.59"
"","","Albury",NA,"1","0.79"
"","","Armidale",NA,"2","1.59"
"","","Bathurst",NA,"1","0.79"
"","","BUNBURY",NA,"4","3.17"
"","","BUSSELTON",NA,"1","0.79"
"","","GERALDTON",NA,"2","1.59"
"","","Gosford-Wyong",NA,"2","1.59"
"","","hobart",NA,"9","7.14"
"","","Illawarra",NA,"3","2.38"
"","","launceston",NA,"6","4.76"
"","","Newcastle",NA,"4","3.17"
"","","PERTH",NA,"39","30.95"
"","","Sydney East",NA,"30","23.81"
"","","Sydney West",NA,"15","11.9"
"","","Tamworth",NA,"3","2.38"
"","","Wagga Wagga",NA,"2","1.59"
"year","number","Min.","2001",NA,NA
"","","1st Qu.","2001",NA,NA
"","","Median","2001",NA,NA
"","","Mean","2001",NA,NA
"","","3rd Qu.","2001",NA,NA
"","","Max.","2001",NA,NA
"name_conco","character","Albany (C) Bal",NA,"1","0.79"
"","","Albany (C) - Central",NA,"1","0.79"
"","","Albury (C)",NA,"1","0.79"
"","","Armadale (C)",NA,"1","0.79"
"","","Armidale Dumaresq (A) Bal",NA,"1","0.79"
"","","Armidale Dumaresq (A) - City",NA,"1","0.79"
"","","Ashfield (A)",NA,"1","0.79"
"","","Auburn (A)",NA,"1","0.79"
"","","Bankstown (C)",NA,"1","0.79"
"","","Bassendean (T)",NA,"1","0.79"
"","","Bathurst (C)",NA,"1","0.79"
"","","Baulkham Hills (A)",NA,"1","0.79"
"","","Bayswater (C)",NA,"1","0.79"
"","","Belmont (C)",NA,"1","0.79"
"","","Blacktown (C) - North",NA,"1","0.79"
"","","Blacktown (C) - South-East",NA,"1","0.79"
"","","Blacktown (C) - South-West",NA,"1","0.79"
"","","Botany Bay (C)",NA,"1","0.79"
"","","Brighton (M)",NA,"1","0.79"
"","","Bunbury (C)",NA,"1","0.79"
"","","more than 20 levels. list truncated.","","",""
"sla_concor","character","10050",NA,"1","0.79"
"","","10111",NA,"1","0.79"
"","","10112",NA,"1","0.79"
"","","10150",NA,"1","0.79"
"","","10200",NA,"1","0.79"
"","","10350",NA,"1","0.79"
"","","10450",NA,"1","0.79"
"","","10500",NA,"1","0.79"
"","","10751",NA,"1","0.79"
"","","10752",NA,"1","0.79"
"","","10753",NA,"1","0.79"
"","","11100",NA,"1","0.79"
"","","11300",NA,"1","0.79"
"","","11450",NA,"1","0.79"
"","","11500",NA,"1","0.79"
"","","11550",NA,"1","0.79"
"","","11900",NA,"1","0.79"
"","","12550",NA,"1","0.79"
"","","12850",NA,"1","0.79"
"","","13100",NA,"1","0.79"
"","","more than 20 levels. list truncated.","","",""
